frame,t,zone,n_obs,status,x,y,theta_deg,dist_plate,car_emblem,door_handle,fuel_cap,license_plate,side_mirror,tail_light
1,0.03,미확인,0,init_side,-2.5,-1.4,0.0,,0,2,1,0,0,1
2,0.07,미확인,4,track(4),-2.543,-1.426,3.0,,0,2,1,0,0,1
3,0.1,미확인,4,track(4),-2.585,-1.453,6.0,,0,2,1,0,0,1
4,0.13,미확인,4,track(4),-2.626,-1.481,8.7,,0,2,1,0,0,1
5,0.17,후측면,4,track(4),-2.666,-1.511,9.3,,0,2,1,0,0,1
6,0.2,후측면,4,track(4),-2.706,-1.541,9.8,,0,2,1,0,0,1
7,0.23,후측면,4,track(4),-2.745,-1.572,10.3,,0,2,1,0,0,1
8,0.27,후측면,4,track(4),-2.784,-1.604,10.8,,0,2,1,0,0,1
9,0.3,후측면,4,track(4),-2.822,-1.636,11.2,,0,2,1,0,0,1
10,0.33,후측면,4,track(4),-2.86,-1.669,11.7,,0,2,1,0,0,1
11,0.37,후측면,4,track(4),-2.897,-1.703,12.2,,0,2,1,0,0,1
12,0.4,후측면,4,track(4),-2.933,-1.737,12.7,,0,2,1,0,0,1
13,0.43,후측면,4,track(4),-2.969,-1.772,13.2,,0,2,1,0,0,1
14,0.47,후측면,4,track(4),-3.004,-1.808,13.7,,0,2,1,0,0,1
15,0.5,후측면,4,track(4),-3.038,-1.844,14.2,,0,2,1,0,0,1
16,0.53,후측면,4,track(4),-3.072,-1.881,14.7,,0,2,1,0,0,1
17,0.57,후측면,4,track(4),-3.105,-1.918,15.2,,0,2,1,0,0,1
18,0.6,후측면,4,track(4),-3.138,-1.956,15.7,,0,2,1,0,0,1
19,0.63,후측면,4,track(4),-3.17,-1.994,16.2,,0,2,1,0,0,1
20,0.67,후측면,4,track(4),-3.202,-2.033,16.7,,0,2,1,0,0,1
21,0.7,후측면,4,track(4),-3.233,-2.073,17.2,,0,2,1,0,0,1
22,0.73,후측면,4,track(4),-3.263,-2.112,17.7,,0,2,1,0,0,1
23,0.77,후측면,4,track(4),-3.29,-2.149,18.2,,0,2,1,0,0,1
24,0.8,후측면,4,track(4),-3.314,-2.183,18.7,,0,2,1,0,0,1
25,0.83,후측면,4,track(4),-3.334,-2.212,19.1,,0,2,1,0,0,1
26,0.87,후측면,4,track(4),-3.352,-2.239,19.5,,0,2,1,0,0,1
27,0.9,후측면,4,track(4),-3.368,-2.262,19.8,,0,2,1,0,0,1
28,0.93,후측면,4,track(4),-3.382,-2.283,20.1,,0,2,1,0,0,1
29,0.97,후측면,4,track(4),-3.395,-2.302,20.3,,0,2,1,0,0,1
30,1.0,후측면,4,track(4),-3.406,-2.32,20.5,,0,2,1,0,0,1
31,1.03,후측면,4,track(4),-3.416,-2.335,20.8,,0,2,1,0,0,1
32,1.07,후측면,4,track(4),-3.426,-2.349,20.9,,0,2,1,0,0,1
33,1.1,후측면,4,track(4),-3.434,-2.362,21.1,,0,2,1,0,0,1
34,1.13,후측면,4,track(4),-3.442,-2.373,21.3,,0,2,1,0,0,1
35,1.17,후측면,4,track(4),-3.449,-2.384,21.4,,0,2,1,0,0,1
36,1.2,후측면,4,track(4),-3.455,-2.393,21.5,,0,2,1,0,0,1
37,1.23,후측면,4,track(4),-3.461,-2.402,21.6,,0,2,1,0,0,1
38,1.27,후측면,4,track(4),-3.466,-2.41,21.7,,0,2,1,0,0,1
39,1.3,후측면,4,track(4),-3.471,-2.417,21.8,,0,2,1,0,0,1
40,1.33,후측면,4,track(4),-3.476,-2.424,21.9,,0,2,1,0,0,1
41,1.37,후측면,4,track(4),-3.48,-2.43,22.0,,0,2,1,0,0,1
42,1.4,후측면,4,track(4),-3.484,-2.436,22.0,,0,2,1,0,0,1
43,1.43,후측면,4,track(4),-3.488,-2.441,22.1,,0,2,1,0,0,1
44,1.47,후측면,4,track(4),-3.492,-2.446,22.2,,0,2,1,0,0,1
45,1.5,후측면,4,track(4),-3.495,-2.45,22.2,,0,2,1,0,0,1
46,1.53,후측면,4,track(4),-3.498,-2.454,22.2,,0,2,1,0,0,1
47,1.57,후측면,4,track(4),-3.501,-2.458,22.3,,0,2,1,0,0,1
48,1.6,후측면,4,track(4),-3.503,-2.461,22.3,,0,2,1,0,0,1
49,1.63,후측면,4,track(4),-3.506,-2.464,22.3,,0,2,1,0,0,1
50,1.67,후측면,4,track(4),-3.508,-2.467,22.4,,0,2,1,0,0,1
51,1.7,후측면,4,track(4),-3.51,-2.469,22.4,,0,2,1,0,0,1
52,1.73,후측면,4,track(4),-3.512,-2.471,22.4,,0,2,1,0,0,1
53,1.77,후측면,4,track(4),-3.514,-2.473,22.4,,0,2,1,0,0,1
54,1.8,후측면,4,track(4),-3.516,-2.475,22.4,,0,2,1,0,0,1
55,1.83,후측면,4,track(4),-3.517,-2.476,22.4,,0,2,1,0,0,1
56,1.87,후측면,4,track(4),-3.519,-2.478,22.4,,0,2,1,0,0,1
57,1.9,후측면,4,track(4),-3.52,-2.479,22.4,,0,2,1,0,0,1
58,1.93,후측면,4,track(4),-3.522,-2.48,22.4,,0,2,1,0,0,1
59,1.97,후측면,4,track(4),-3.523,-2.481,22.3,,0,2,1,0,0,1
60,2.0,후측면,4,track(4),-3.524,-2.482,22.3,,0,2,1,0,0,1
61,2.03,후측면,4,track(4),-3.525,-2.483,22.3,,0,2,1,0,0,1
62,2.07,후측면,4,track(4),-3.526,-2.484,22.3,,0,2,1,0,0,1
63,2.1,후측면,4,track(4),-3.527,-2.485,22.3,,0,2,1,0,0,1
64,2.13,후측면,4,track(4),-3.528,-2.486,22.2,,0,2,1,0,0,1
65,2.17,후측면,4,track(4),-3.529,-2.486,22.2,,0,2,1,0,0,1
66,2.2,후측면,4,track(4),-3.53,-2.487,22.2,,0,2,1,0,0,1
67,2.23,후측면,4,track(4),-3.53,-2.488,22.2,,0,2,1,0,0,1
68,2.27,후측면,4,track(4),-3.53,-2.488,22.1,,0,2,1,0,0,1
69,2.3,후측면,4,track(4),-3.531,-2.489,22.0,,0,2,1,0,0,1
70,2.33,후측면,4,track(4),-3.532,-2.489,21.9,,0,2,1,0,0,1
71,2.37,후측면,4,track(4),-3.532,-2.49,21.8,,0,2,1,0,0,1
72,2.4,후측면,4,track(4),-3.533,-2.491,21.7,,0,2,1,0,0,1
73,2.43,후측면,4,track(4),-3.534,-2.492,21.7,,0,2,1,0,0,1
74,2.47,후측면,4,track(4),-3.534,-2.492,21.6,,0,2,1,0,0,1
75,2.5,후측면,4,track(4),-3.534,-2.492,21.6,,0,2,1,0,0,1
76,2.53,후측면,4,track(4),-3.534,-2.492,21.5,,0,2,1,0,0,1
77,2.57,후측면,4,track(4),-3.535,-2.492,21.5,,0,2,1,0,0,1
78,2.6,후측면,4,track(4),-3.535,-2.492,21.4,,0,2,1,0,0,1
79,2.63,후측면,4,track(4),-3.535,-2.492,21.3,,0,2,1,0,0,1
80,2.67,후측면,4,track(4),-3.535,-2.492,21.2,,0,2,1,0,0,1
81,2.7,후측면,4,track(4),-3.535,-2.492,21.1,,0,2,1,0,0,1
82,2.73,후측면,4,track(4),-3.535,-2.491,21.0,,0,2,1,0,0,1
83,2.77,후측면,4,track(4),-3.535,-2.491,20.9,,0,2,1,0,0,1
84,2.8,후측면,4,track(4),-3.535,-2.491,20.9,,0,2,1,0,0,1
85,2.83,후측면,4,track(4),-3.535,-2.491,20.8,,0,2,1,0,0,1
86,2.87,후측면,4,track(4),-3.535,-2.491,20.6,,0,2,1,0,0,1
87,2.9,후측면,4,track(4),-3.535,-2.491,20.5,,0,2,1,0,0,1
88,2.93,후측면,4,track(4),-3.535,-2.49,20.4,,0,2,1,0,0,1
89,2.97,후측면,4,track(4),-3.535,-2.49,20.3,,0,2,1,0,0,1
90,3.0,후측면,4,track(4),-3.535,-2.489,20.2,,0,2,1,0,0,1
91,3.03,후측면,4,track(4),-3.534,-2.489,20.0,,0,2,1,0,0,1
92,3.07,후측면,4,track(4),-3.534,-2.488,19.9,,0,2,1,0,0,1
93,3.1,후측면,4,track(4),-3.534,-2.487,19.7,,0,2,1,0,0,1
94,3.13,후측면,4,track(4),-3.534,-2.487,19.5,,0,2,1,0,0,1
95,3.17,후측면,4,track(4),-3.534,-2.487,19.3,,0,2,1,0,0,1
96,3.2,후측면,4,track(4),-3.534,-2.487,19.1,,0,2,1,0,0,1
97,3.23,후측면,4,track(4),-3.534,-2.487,18.9,,0,2,1,0,0,1
98,3.27,후측면,4,track(4),-3.535,-2.487,18.7,,0,2,1,0,0,1
99,3.3,후측면,4,track(4),-3.535,-2.487,18.5,,0,2,1,0,0,1
100,3.33,후측면,4,track(4),-3.535,-2.487,18.4,,0,2,1,0,0,1
101,3.37,후측면,4,track(4),-3.534,-2.486,18.2,,0,2,1,0,0,1
102,3.4,후측면,4,track(4),-3.535,-2.486,18.0,,0,2,1,0,0,1
103,3.43,후측면,4,track(4),-3.534,-2.485,17.8,,0,2,1,0,0,1
104,3.47,후측면,4,track(4),-3.535,-2.485,17.7,,0,2,1,0,0,1
105,3.5,후측면,4,track(4),-3.534,-2.484,17.5,,0,2,1,0,0,1
106,3.53,후측면,4,track(4),-3.534,-2.484,17.3,,0,2,1,0,0,1
107,3.57,후측면,4,track(4),-3.534,-2.483,17.1,,0,2,1,0,0,1
108,3.6,후측면,4,track(4),-3.533,-2.482,17.0,,0,2,1,0,0,1
109,3.63,후측면,4,track(4),-3.532,-2.481,16.7,,0,2,1,0,0,1
110,3.67,후측면,4,track(4),-3.532,-2.48,16.5,,0,2,1,0,0,1
111,3.7,후측면,4,track(4),-3.531,-2.479,16.2,,0,2,1,0,0,1
112,3.73,후측면,4,track(4),-3.531,-2.478,15.9,,0,2,1,0,0,1
113,3.77,후측면,4,track(4),-3.53,-2.477,15.6,,0,2,1,0,0,1
114,3.8,후측면,4,track(4),-3.529,-2.476,15.4,,0,2,1,0,0,1
115,3.83,후측면,4,track(4),-3.528,-2.475,15.1,,0,2,1,0,0,1
116,3.87,후측면,4,track(4),-3.527,-2.473,14.9,,0,2,1,0,0,1
117,3.9,후측면,4,track(4),-3.526,-2.472,14.7,,0,2,1,0,0,1
118,3.93,후측면,4,track(4),-3.525,-2.471,14.5,,0,2,1,0,0,1
119,3.97,후측면,4,track(4),-3.524,-2.47,14.2,,0,2,1,0,0,1
120,4.0,후측면,5,track(5),-3.485,-2.439,16.6,,0,2,1,0,1,1
121,4.03,후측면,5,track(5),-3.444,-2.41,16.3,,0,2,1,0,1,1
122,4.07,후측면,5,track(5),-3.403,-2.382,15.8,,0,2,1,0,1,1
123,4.1,후측면,5,track(5),-3.361,-2.355,15.4,,0,2,1,0,1,1
124,4.13,후측면,5,track(5),-3.318,-2.329,15.0,,0,2,1,0,1,1
125,4.17,후측면,5,track(5),-3.275,-2.304,14.7,,0,2,1,0,1,1
126,4.2,후측면,5,track(5),-3.231,-2.28,14.3,,0,2,1,0,1,1
