frame,t,car_emblem,door_handle,fuel_cap,license_plate,side_mirror,tail_light,zone,yaw_fresh,dist,yaw,bearing,x,y,alpha_deg
1,0.03,0,2,1,0,0,1,미확인,0,,,,,,
2,0.07,0,2,1,0,0,1,미확인,0,,,,,,
3,0.1,0,2,1,0,0,1,미확인,0,,,,,,
4,0.13,0,2,1,0,0,1,미확인,0,,,,,,
5,0.17,0,2,1,0,0,1,후측면,0,,,,,,
6,0.2,0,2,1,0,0,1,후측면,0,,,,,,
7,0.23,0,2,1,0,0,1,후측면,0,,,,,,
8,0.27,0,2,1,0,0,1,후측면,0,,,,,,
9,0.3,0,2,1,0,0,1,후측면,0,,,,,,
10,0.33,0,2,1,0,0,1,후측면,0,,,,,,
11,0.37,0,2,1,0,0,1,후측면,0,,,,,,
12,0.4,0,2,1,0,0,1,후측면,0,,,,,,
13,0.43,0,2,1,0,0,1,후측면,0,,,,,,
14,0.47,0,2,1,0,0,1,후측면,0,,,,,,
15,0.5,0,2,1,0,0,1,후측면,0,,,,,,
16,0.53,0,2,1,0,0,1,후측면,0,,,,,,
17,0.57,0,2,1,0,0,1,후측면,0,,,,,,
18,0.6,0,2,1,0,0,1,후측면,0,,,,,,
19,0.63,0,2,1,0,0,1,후측면,0,,,,,,
20,0.67,0,2,1,0,0,1,후측면,0,,,,,,
21,0.7,0,2,1,0,0,1,후측면,0,,,,,,
22,0.73,0,2,1,0,0,1,후측면,0,,,,,,
23,0.77,0,2,1,0,0,1,후측면,0,,,,,,
24,0.8,0,2,1,0,0,1,후측면,0,,,,,,
25,0.83,0,2,1,0,0,1,후측면,0,,,,,,
26,0.87,0,2,1,0,0,1,후측면,0,,,,,,
27,0.9,0,2,1,0,0,1,후측면,0,,,,,,
28,0.93,0,2,1,0,0,1,후측면,0,,,,,,
29,0.97,0,2,1,0,0,1,후측면,0,,,,,,
30,1.0,0,2,1,0,0,1,후측면,0,,,,,,
31,1.03,0,2,1,0,0,1,후측면,0,,,,,,
32,1.07,0,2,1,0,0,1,후측면,0,,,,,,
33,1.1,0,2,1,0,0,1,후측면,0,,,,,,
34,1.13,0,2,1,0,0,1,후측면,0,,,,,,
35,1.17,0,2,1,0,0,1,후측면,0,,,,,,
36,1.2,0,2,1,0,0,1,후측면,0,,,,,,
37,1.23,0,2,1,0,0,1,후측면,0,,,,,,
38,1.27,0,2,1,0,0,1,후측면,0,,,,,,
39,1.3,0,2,1,0,0,1,후측면,0,,,,,,
40,1.33,0,2,1,0,0,1,후측면,0,,,,,,
41,1.37,0,2,1,0,0,1,후측면,0,,,,,,
42,1.4,0,2,1,0,0,1,후측면,0,,,,,,
43,1.43,0,2,1,0,0,1,후측면,0,,,,,,
44,1.47,0,2,1,0,0,1,후측면,0,,,,,,
45,1.5,0,2,1,0,0,1,후측면,0,,,,,,
46,1.53,0,2,1,0,0,1,후측면,0,,,,,,
47,1.57,0,2,1,0,0,1,후측면,0,,,,,,
48,1.6,0,2,1,0,0,1,후측면,0,,,,,,
49,1.63,0,2,1,0,0,1,후측면,0,,,,,,
50,1.67,0,2,1,0,0,1,후측면,0,,,,,,
51,1.7,0,2,1,0,0,1,후측면,0,,,,,,
52,1.73,0,2,1,0,0,1,후측면,0,,,,,,
53,1.77,0,2,1,0,0,1,후측면,0,,,,,,
54,1.8,0,2,1,0,0,1,후측면,0,,,,,,
55,1.83,0,2,1,0,0,1,후측면,0,,,,,,
56,1.87,0,2,1,0,0,1,후측면,0,,,,,,
57,1.9,0,2,1,0,0,1,후측면,0,,,,,,
58,1.93,0,2,1,0,0,1,후측면,0,,,,,,
59,1.97,0,2,1,0,0,1,후측면,0,,,,,,
60,2.0,0,2,1,0,0,1,후측면,0,,,,,,
61,2.03,0,2,1,0,0,1,후측면,0,,,,,,
62,2.07,0,2,1,0,0,1,후측면,0,,,,,,
63,2.1,0,2,1,0,0,1,후측면,0,,,,,,
64,2.13,0,2,1,0,0,1,후측면,0,,,,,,
65,2.17,0,2,1,0,0,1,후측면,0,,,,,,
66,2.2,0,2,1,0,0,1,후측면,0,,,,,,
67,2.23,0,2,1,0,0,1,후측면,0,,,,,,
68,2.27,0,2,1,0,0,1,후측면,0,,,,,,
69,2.3,0,2,1,0,0,1,후측면,0,,,,,,
70,2.33,0,2,1,0,0,1,후측면,0,,,,,,
71,2.37,0,2,1,0,0,1,후측면,0,,,,,,
72,2.4,0,2,1,0,0,1,후측면,0,,,,,,
73,2.43,0,2,1,0,0,1,후측면,0,,,,,,
74,2.47,0,2,1,0,0,1,후측면,0,,,,,,
75,2.5,0,2,1,0,0,1,후측면,0,,,,,,
76,2.53,0,2,1,0,0,1,후측면,0,,,,,,
77,2.57,0,2,1,0,0,1,후측면,0,,,,,,
78,2.6,0,2,1,0,0,1,후측면,0,,,,,,
79,2.63,0,2,1,0,0,1,후측면,0,,,,,,
80,2.67,0,2,1,0,0,1,후측면,0,,,,,,
81,2.7,0,2,1,0,0,1,후측면,0,,,,,,
82,2.73,0,2,1,0,0,1,후측면,0,,,,,,
83,2.77,0,2,1,0,0,1,후측면,0,,,,,,
84,2.8,0,2,1,0,0,1,후측면,0,,,,,,
85,2.83,0,2,1,0,0,1,후측면,0,,,,,,
86,2.87,0,2,1,0,0,1,후측면,0,,,,,,
87,2.9,0,2,1,0,0,1,후측면,0,,,,,,
88,2.93,0,2,1,0,0,1,후측면,0,,,,,,
89,2.97,0,2,1,0,0,1,후측면,0,,,,,,
90,3.0,0,2,1,0,0,1,후측면,0,,,,,,
91,3.03,0,2,1,0,0,1,후측면,0,,,,,,
92,3.07,0,2,1,0,0,1,후측면,0,,,,,,
93,3.1,0,2,1,0,0,1,후측면,0,,,,,,
94,3.13,0,2,1,0,0,1,후측면,0,,,,,,
95,3.17,0,2,1,0,0,1,후측면,0,,,,,,
96,3.2,0,2,1,0,0,1,후측면,0,,,,,,
97,3.23,0,2,1,0,0,1,후측면,0,,,,,,
98,3.27,0,2,1,0,0,1,후측면,0,,,,,,
99,3.3,0,2,1,0,0,1,후측면,0,,,,,,
100,3.33,0,2,1,0,0,1,후측면,0,,,,,,
101,3.37,0,2,1,0,0,1,후측면,0,,,,,,
102,3.4,0,2,1,0,0,1,후측면,0,,,,,,
103,3.43,0,2,1,0,0,1,후측면,0,,,,,,
104,3.47,0,2,1,0,0,1,후측면,0,,,,,,
105,3.5,0,2,1,0,0,1,후측면,0,,,,,,
106,3.53,0,2,1,0,0,1,후측면,0,,,,,,
107,3.57,0,2,1,0,0,1,후측면,0,,,,,,
108,3.6,0,2,1,0,0,1,후측면,0,,,,,,
109,3.63,0,2,1,0,0,1,후측면,0,,,,,,
110,3.67,0,2,1,0,0,1,후측면,0,,,,,,
111,3.7,0,2,1,0,0,1,후측면,0,,,,,,
112,3.73,0,2,1,0,0,1,후측면,0,,,,,,
113,3.77,0,2,1,0,0,1,후측면,0,,,,,,
114,3.8,0,2,1,0,0,1,후측면,0,,,,,,
115,3.83,0,2,1,0,0,1,후측면,0,,,,,,
116,3.87,0,2,1,0,0,1,후측면,0,,,,,,
117,3.9,0,2,1,0,0,1,후측면,0,,,,,,
118,3.93,0,2,1,0,0,1,후측면,0,,,,,,
119,3.97,0,2,1,0,0,1,후측면,0,,,,,,
120,4.0,0,2,1,0,1,1,후측면,0,,,,,,
121,4.03,0,2,1,0,1,1,후측면,0,,,,,,
122,4.07,0,2,1,0,1,1,후측면,0,,,,,,
123,4.1,0,2,1,0,1,1,후측면,0,,,,,,
124,4.13,0,2,1,0,1,1,후측면,0,,,,,,
125,4.17,0,2,1,0,1,1,후측면,0,,,,,,
126,4.2,0,2,1,0,1,1,후측면,0,,,,,,
127,4.23,0,2,1,0,1,1,후측면,0,,,,,,
128,4.27,0,2,1,0,1,1,후측면,0,,,,,,
129,4.3,0,2,1,0,1,1,후측면,0,,,,,,
130,4.33,0,2,1,0,1,1,후측면,0,,,,,,
131,4.37,0,2,1,0,1,1,후측면,0,,,,,,
132,4.4,0,2,1,0,1,1,후측면,0,,,,,,
133,4.43,0,2,1,0,1,1,후측면,0,,,,,,
134,4.47,0,2,1,0,1,1,후측면,0,,,,,,
135,4.5,0,2,1,0,1,1,후측면,0,,,,,,
136,4.53,0,2,1,0,1,1,후측면,0,,,,,,
137,4.57,0,2,1,0,1,1,후측면,0,,,,,,
138,4.6,0,2,1,0,1,1,후측면,0,,,,,,
139,4.63,0,2,1,0,1,1,후측면,0,,,,,,
140,4.67,0,2,1,0,1,1,후측면,0,,,,,,
141,4.7,0,2,1,0,1,1,후측면,0,,,,,,
142,4.73,0,2,1,0,1,1,후측면,0,,,,,,
143,4.77,0,2,1,0,1,1,후측면,0,,,,,,
144,4.8,0,2,1,0,1,1,후측면,0,,,,,,
145,4.83,0,2,1,0,1,1,후측면,0,,,,,,
146,4.87,0,2,1,0,1,1,후측면,0,,,,,,
147,4.9,0,2,1,0,1,1,후측면,0,,,,,,
148,4.93,0,2,1,0,1,1,후측면,0,,,,,,
149,4.97,0,2,1,0,1,1,후측면,0,,,,,,
150,5.0,0,2,1,0,1,1,후측면,0,,,,,,
151,5.03,0,2,1,0,1,1,후측면,0,,,,,,
152,5.07,0,2,1,0,1,1,후측면,0,,,,,,
153,5.1,0,2,1,0,1,1,후측면,0,,,,,,
154,5.13,0,2,1,0,1,1,후측면,0,,,,,,
155,5.17,0,2,1,0,1,1,후측면,0,,,,,,
156,5.2,0,2,1,0,1,1,후측면,0,,,,,,
157,5.23,0,2,1,0,1,1,후측면,0,,,,,,
158,5.27,0,2,1,0,1,1,후측면,0,,,,,,
159,5.3,0,2,1,0,1,1,후측면,0,,,,,,
160,5.33,0,2,1,0,1,1,후측면,0,,,,,,
161,5.37,0,2,1,0,1,1,후측면,0,,,,,,
162,5.4,0,2,1,0,1,1,후측면,0,,,,,,
163,5.43,0,2,1,0,1,1,후측면,0,,,,,,
164,5.47,0,2,1,0,1,1,후측면,0,,,,,,
165,5.5,0,2,1,0,1,1,후측면,0,,,,,,
166,5.53,0,2,1,0,1,1,후측면,0,,,,,,
167,5.57,0,2,1,0,1,1,후측면,0,,,,,,
168,5.6,0,2,1,0,1,1,후측면,0,,,,,,
169,5.63,0,2,1,0,1,1,후측면,0,,,,,,
170,5.67,0,2,1,0,1,1,후측면,0,,,,,,
171,5.7,0,2,1,0,1,1,후측면,0,,,,,,
172,5.73,0,2,1,0,1,1,후측면,0,,,,,,
173,5.77,0,2,1,0,1,1,후측면,0,,,,,,
174,5.8,0,2,1,0,1,1,후측면,0,,,,,,
175,5.83,0,2,1,0,1,1,후측면,0,,,,,,
176,5.87,0,2,1,0,1,1,후측면,0,,,,,,
177,5.9,0,2,1,0,1,1,후측면,0,,,,,,
178,5.93,0,2,1,0,1,1,후측면,0,,,,,,
179,5.97,0,2,1,0,1,1,후측면,0,,,,,,
180,6.0,0,2,1,0,1,1,후측면,0,,,,,,
181,6.03,0,2,1,0,1,1,후측면,0,,,,,,
182,6.07,0,2,1,0,1,1,후측면,0,,,,,,
183,6.1,0,2,1,0,1,1,후측면,0,,,,,,
184,6.13,0,2,1,0,1,1,후측면,0,,,,,,
185,6.17,0,2,1,0,1,1,후측면,0,,,,,,
186,6.2,0,2,1,0,1,1,후측면,0,,,,,,
187,6.23,0,2,1,0,1,1,후측면,0,,,,,,
188,6.27,0,2,1,0,1,1,후측면,0,,,,,,
189,6.3,0,2,1,0,1,1,후측면,0,,,,,,
190,6.33,0,2,1,0,1,1,후측면,0,,,,,,
191,6.37,0,2,1,0,1,1,후측면,0,,,,,,
192,6.4,0,2,1,0,1,1,후측면,0,,,,,,
193,6.43,0,2,1,0,1,1,후측면,0,,,,,,
194,6.47,0,2,1,0,1,1,후측면,0,,,,,,
195,6.5,0,2,1,0,1,0,후측면,0,,,,,,
196,6.53,0,2,1,0,1,0,후측면,0,,,,,,
197,6.57,0,2,1,0,1,0,후측면,0,,,,,,
198,6.6,0,2,0,0,1,0,후측면,0,,,,,,
199,6.63,0,2,0,0,1,0,측면,0,,,,,,
