epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3648,1.13149,2.42871,4.27023,1.03302,0.00384,0.07585,0.0309,0.02749,0.00499,0.11218,0.03247,0.02776,0.79437,2.70998,4.18445,0.92352,0.00012,0.00012,0.00012
2,131.963,1.14194,1.95725,3.41161,0.92622,0.00861,0.31609,0.11626,0.09053,0.00948,0.48168,0.12093,0.09256,0.90049,3.3238,3.64742,0.84314,0.000247525,0.000247525,0.000247525
3,188.033,1.14111,1.64627,2.59896,0.89181,0.00989,0.25611,0.12662,0.07158,0.00938,0.24222,0.11929,0.05561,0.96016,3.80874,3.38457,0.85192,0.000372476,0.000372476,0.000372476
4,234.089,1.09838,1.57958,2.09988,0.91132,0.01224,0.28549,0.15664,0.10331,0.01089,0.26732,0.14584,0.07612,0.85324,2.80132,3.05866,0.83526,0.000494853,0.000494853,0.000494853
5,291.989,1.04549,1.42343,1.88818,0.89631,0.01112,0.21276,0.17593,0.11024,0.01112,0.21276,0.17593,0.08347,0.73475,1.97774,2.9647,0.85573,0.000614656,0.000614656,0.000614656
6,350.467,0.98551,1.36513,1.69474,0.90306,0.94695,0.06453,0.2129,0.14644,0.94695,0.06453,0.2129,0.10461,0.75145,2.24903,2.62593,0.86738,0.000731885,0.000731885,0.000731885
7,418.572,0.97276,1.30054,1.57219,0.91119,0.92123,0.154,0.22911,0.12894,0.92123,0.154,0.21891,0.11981,0.84975,3.67253,2.41283,0.91142,0.00084654,0.00084654,0.00084654
8,479.954,1.00253,1.30492,1.48773,0.9204,0.83271,0.15773,0.18649,0.13331,0.83271,0.15773,0.18649,0.10241,0.83151,2.93835,2.02007,0.89958,0.0009307,0.0009307,0.0009307
9,528.144,0.9671,1.28314,1.39784,0.90387,0.788,0.19272,0.25126,0.16287,0.74895,0.17884,0.23953,0.11976,0.84693,1.7845,1.61189,0.89606,0.0009208,0.0009208,0.0009208
10,586.012,1.01861,1.31888,1.47332,0.92104,0.79079,0.14716,0.20791,0.14338,0.74646,0.13327,0.18993,0.09958,0.84087,1.96355,1.58797,0.88981,0.0009109,0.0009109,0.0009109
11,645.602,0.96515,1.32021,1.33,0.90745,0.70424,0.18402,0.20548,0.15101,0.66293,0.17122,0.19197,0.09913,0.89223,1.80631,1.49282,0.9048,0.000901,0.000901,0.000901
12,701.851,0.94424,1.18161,1.22281,0.89286,0.7146,0.20253,0.20289,0.16197,0.7146,0.20253,0.20289,0.10991,0.80754,1.83382,1.29268,0.89904,0.0008911,0.0008911,0.0008911
13,759.092,0.92539,1.18078,1.18575,0.89633,0.75128,0.19698,0.19941,0.15513,0.75821,0.18864,0.18922,0.11404,0.76236,2.01767,1.25441,0.882,0.0008812,0.0008812,0.0008812
